# Atmospheric Parameters, from z=-10Mm to z=68Mm
#
# Below z=-100km, HSRASP
# Above z=-100km, Model C7 from Avrett and Loeser 2008
# HSRASP: Chapman ApJ 232 923 (1979)
# DOI: 10.1086/157355
# Model C7: Eugene H. Avrett and Rudolf Loeser ApJS 175 229 (2008)
# DOI: 10.1086/523671
#
# 0: z[km] height from z=0km, where z=0km is where tau_5000=1
# 1: T[K]
# 2: P_gas[dyn/cm^2] gas pressure
# 3: rho_tot[g/cm^3] total mass density
# 4: nH[1/cm^3] total hydrogen number density
# 5: mu[a.m.u.] mean molecular weight
# 6: X_H Hydrogen mass fraction
#
# z, T, P_gas, rho_tot, nH, mu, X_H
-6.00000e+06 8.22000e+03 1.65400e+05 3.08194e-07 1.31500e+17 1.27300e+00 7.14061e-01
-7.00000e+06 8.54000e+03 1.73800e+05 3.10772e-07 1.32600e+17 1.27300e+00 7.14061e-01
-8.00000e+06 8.85000e+03 1.82300e+05 3.13116e-07 1.33600e+17 1.27300e+00 7.14061e-01
-9.00000e+06 9.12000e+03 1.90900e+05 3.16631e-07 1.35100e+17 1.27300e+00 7.14061e-01
-1.00000e+07 9.38000e+03 1.99500e+05 3.20147e-07 1.36600e+17 1.27300e+00 7.14061e-01
-1.13900e+07 9.65300e+03 2.27800e+05 3.55400e-07 1.55192e+17 1.25300e+00 7.30779e-01
-1.41500e+07 1.00100e+04 2.55600e+05 3.80900e-07 1.68669e+17 1.24100e+00 7.41069e-01
-1.70300e+07 1.03100e+04 2.86700e+05 4.10900e-07 1.84529e+17 1.22900e+00 7.51560e-01
-2.00100e+07 1.05800e+04 3.21700e+05 4.45400e-07 2.02630e+17 1.21800e+00 7.61357e-01
-2.30900e+07 1.08400e+04 3.61000e+05 4.83800e-07 2.22720e+17 1.20800e+00 7.70419e-01
-2.62800e+07 1.10800e+04 4.05000e+05 5.26200e-07 2.45428e+17 1.19700e+00 7.80563e-01
-2.95600e+07 1.13100e+04 4.54500e+05 5.73200e-07 2.70564e+17 1.18700e+00 7.89947e-01
-3.29300e+07 1.15400e+04 5.09900e+05 6.24900e-07 2.98891e+17 1.17600e+00 8.00454e-01
-3.64100e+07 1.17600e+04 5.72100e+05 6.82000e-07 3.30164e+17 1.16600e+00 8.10177e-01
-3.99800e+07 1.19800e+04 6.41900e+05 7.44700e-07 3.64920e+17 1.15600e+00 8.20069e-01
-4.36400e+07 1.21900e+04 7.20300e+05 8.13900e-07 4.03724e+17 1.14600e+00 8.30134e-01
-4.74100e+07 1.24100e+04 8.08200e+05 8.89900e-07 4.46869e+17 1.13600e+00 8.40376e-01
-5.12700e+07 1.26200e+04 9.06800e+05 9.73500e-07 4.94302e+17 1.12700e+00 8.49749e-01
-5.52200e+07 1.28300e+04 1.01700e+06 1.06600e-06 5.47336e+17 1.11800e+00 8.59273e-01
-5.92800e+07 1.30400e+04 1.14200e+06 1.16700e-06 6.05943e+17 1.10900e+00 8.68951e-01
-6.34300e+07 1.32500e+04 1.28100e+06 1.27800e-06 6.71932e+17 1.09900e+00 8.79891e-01
-6.76900e+07 1.34600e+04 1.43700e+06 1.40000e-06 7.43518e+17 1.09100e+00 8.88787e-01
-7.20400e+07 1.36700e+04 1.61300e+06 1.53500e-06 8.24538e+17 1.08200e+00 8.98953e-01
-7.65000e+07 1.38800e+04 1.80900e+06 1.68200e-06 9.13889e+17 1.07300e+00 9.09289e-01
-8.10600e+07 1.40900e+04 2.03000e+06 1.84400e-06 1.01219e+18 1.06500e+00 9.18623e-01
-8.57300e+07 1.43100e+04 2.27800e+06 2.02300e-06 1.12190e+18 1.05700e+00 9.28098e-01
-9.05000e+07 1.45300e+04 2.55600e+06 2.21900e-06 1.24336e+18 1.04900e+00 9.37718e-01
-9.53900e+07 1.47500e+04 2.86700e+06 2.43400e-06 1.37803e+18 1.04100e+00 9.47486e-01
-1.00400e+08 1.49800e+04 3.21700e+06 2.66900e-06 1.52690e+18 1.03300e+00 9.57406e-01
-1.05500e+08 1.52100e+04 3.61000e+06 2.92800e-06 1.69048e+18 1.02600e+00 9.66212e-01
-1.10700e+08 1.54400e+04 4.05000e+06 3.21200e-06 1.87404e+18 1.01800e+00 9.76424e-01
-1.16100e+08 1.56700e+04 4.54500e+06 3.52300e-06 2.07734e+18 1.01000e+00 9.86799e-01
-1.21500e+08 1.59100e+04 5.09900e+06 3.86400e-06 2.29968e+18 1.00300e+00 9.96012e-01
-1.27100e+08 1.61600e+04 5.72100e+06 4.23900e-06 2.54755e+18 9.95700e-01 1.00576e+00
-1.32800e+08 1.64100e+04 6.41900e+06 4.64900e-06 2.82180e+18 9.88300e-01 1.01578e+00
-1.50800e+08 1.71900e+04 9.06800e+06 6.13100e-06 3.83125e+18 9.66800e-01 1.04579e+00
-2.12700e+08 1.99100e+04 2.55600e+07 1.39700e-05 9.51325e+18 9.05200e-01 1.13964e+00
-3.19800e+08 2.48700e+04 1.01700e+08 4.07800e-05 3.10694e+19 8.29000e-01 1.27503e+00
-4.68300e+08 3.24600e+04 4.05000e+08 1.14200e-04 9.67352e+19 7.61500e-01 1.41760e+00
-6.83700e+08 4.49600e+04 1.61300e+09 3.04500e-04 2.82977e+20 7.06000e-01 1.55524e+00
-1.01500e+09 6.85200e+04 6.41900e+09 7.54600e-04 7.47151e+20 6.69900e-01 1.65701e+00
